Transaction ID,Customer ID,Book Title,Author,Genre,Purchase Method,Payment Method,Stock Before,Stock After,Loyalty Points,Promotion Applied,Discount Applied,Order Status,Restock Triggered
59b278fe,914e0b,1984,George Orwell,Dystopian,Online,Cash,25,22,30,"Buy 3 Books, Get 1 Free",0,Completed,No
8f90d6f6,c8d80d,Becoming,Michelle Obama,Biography,Online,Online Payment,14,12,20,"Buy 3 Books, Get 1 Free",0,Completed,No
a116662e,dba9d8,The Midnight Library,Matt Haig,Fantasy,Online,Cash,21,18,30,"Buy 3 Books, Get 1 Free",0,Completed,No
2db9cc65,7cdf6c,Dune,Frank Herbert,Sci-Fi,Online,Cash,26,24,20,Flat 50% Discount,50,Completed,No
d99cc2d4,eb00af,Dune,Frank Herbert,Sci-Fi,Online,Card,6,5,10,"Buy One, Get One Free",0,Completed,No
4d2b83d3,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Cash,25,23,0,None,0,Completed,No
3096b53a,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Online Payment,36,33,0,None,0,Completed,No
77911f67,ebcf20,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,27,25,20,"Buy One, Get One Free",0,Completed,No
db39c2f6,e17142,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,18,15,30,Flat 50% Discount,50,Completed,No
37adb63a,9828cd,1984,George Orwell,Dystopian,Online,Cash,44,43,10,"Buy 3 Books, Get 1 Free",0,Completed,No
a64edcfc,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,8,6,0,None,0,Completed,No
d19d83d0,1702c4,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,42,40,20,"Buy One, Get One Free",0,Completed,No
7af54731,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,15,14,0,None,0,Completed,No
8b15d1e2,0c6866,Atomic Habits,James Clear,Self-Help,Online,Card,26,25,10,Flat 50% Discount,50,Completed,No
f5955790,2d25f0,1984,George Orwell,Dystopian,Online,Card,6,4,20,Earn 2x Reward Points,0,Completed,Yes
