Employee ID,Office Location,Department,Idea Submission Date,Idea Title,Idea Category,Number of Votes,Collaboration Status,Approval Status,Implementation Status,Security Concern Flag
587b45d8,Germany,Renewable Energy,16/04/2024,Idea 1,Sustainable Transport,231,Single Contributor,Pending,Not Started,No
0d3e8b8e,Canada,Renewable Energy,14/01/2024,Idea 2,Water Management,477,Cross-Regional Team,Approved,In Progress,No
fa012fe7,France,Environmental Policy,10/01/2025,Idea 3,Renewable Energy,48,Cross-Regional Team,Approved,Not Started,Yes
cb8ed680,Japan,Technology,24/12/2023,Idea 4,Circular Economy,330,Cross-Regional Team,Approved,Completed,No
333fff26,Australia,Technology,13/02/2025,Idea 5,Circular Economy,428,Single Contributor,Approved,Not Started,No
a34ebb0f,India,Technology,08/09/2024,Idea 6,Circular Economy,431,Single Contributor,Rejected,Not Started,No
92f7e972,Mexico,Infrastructure,07/10/2024,Idea 7,Carbon Capture,38,Cross-Regional Team,Pending,Not Started,No
d08d6bec,Mexico,Environmental Policy,03/04/2024,Idea 8,Sustainable Transport,10,Single Contributor,Pending,Not Started,No
b6ed5ec1,Australia,Environmental Policy,04/07/2023,Idea 9,Carbon Capture,468,Single Contributor,Pending,Not Started,No
e6c12406,Canada,Research,20/04/2024,Idea 10,Sustainable Transport,0,Single Contributor,Pending,Not Started,No
9dd9f6bb,South Africa,Infrastructure,28/01/2024,Idea 11,Circular Economy,436,Cross-Regional Team,Rejected,Not Started,Yes
682f675b,South Africa,Urban Development,12/03/2023,Idea 12,Water Management,194,Single Contributor,Pending,Not Started,No
776e7872,Mexico,Renewable Energy,22/08/2023,Idea 13,Sustainable Transport,19,Single Contributor,Pending,Not Started,No
9d0dd7e0,France,Environmental Policy,18/09/2024,Idea 14,Smart Cities,443,Cross-Regional Team,Rejected,Not Started,No
27febb2d,Brazil,Technology,17/05/2024,Idea 15,Sustainable Transport,425,Single Contributor,Approved,In Progress,No
dcbf1bd1,China,Technology,16/11/2024,Idea 16,Smart Cities,216,Cross-Regional Team,Rejected,Not Started,No
018d372d,Germany,Technology,16/08/2024,Idea 17,Water Management,2,Cross-Regional Team,Approved,Completed,No
6aecf810,Australia,Research,01/11/2023,Idea 18,Water Management,89,Cross-Regional Team,Pending,Not Started,No
d7c38ae4,China,Renewable Energy,29/01/2024,Idea 19,Circular Economy,89,Cross-Regional Team,Pending,Not Started,No
1fe47d3a,India,Infrastructure,07/06/2023,Idea 20,Sustainable Transport,318,Single Contributor,Rejected,Not Started,No
41b9baa2,France,Urban Development,27/08/2024,Idea 21,Smart Cities,214,Single Contributor,Rejected,Not Started,No
29971bc8,Canada,Urban Development,31/05/2023,Idea 22,Sustainable Transport,467,Cross-Regional Team,Approved,Not Started,No
aac5893e,UK,Renewable Energy,15/11/2023,Idea 23,Carbon Capture,254,Cross-Regional Team,Rejected,Not Started,No
4a039704,Australia,Renewable Energy,24/01/2024,Idea 24,Sustainable Transport,302,Single Contributor,Approved,Not Started,No
90c5b3a1,China,Environmental Policy,26/03/2023,Idea 25,Circular Economy,26,Single Contributor,Rejected,Not Started,No
b87eb801,Mexico,Infrastructure,10/12/2023,Idea 26,Sustainable Transport,415,Cross-Regional Team,Pending,Not Started,No
0cd4007c,Japan,Infrastructure,12/06/2023,Idea 27,Sustainable Transport,206,Cross-Regional Team,Rejected,Not Started,No
5282fcc4,Canada,Urban Development,10/02/2024,Idea 28,Circular Economy,339,Single Contributor,Approved,In Progress,No
00c34c37,Mexico,Infrastructure,30/08/2024,Idea 29,Carbon Capture,125,Single Contributor,Pending,Not Started,No
d0bca6c7,Germany,Infrastructure,24/02/2024,Idea 30,Sustainable Transport,37,Cross-Regional Team,Rejected,Not Started,No
fbe3da53,India,Urban Development,03/03/2024,Idea 31,Carbon Capture,41,Single Contributor,Rejected,Not Started,No
2514bac0,China,Research,13/08/2023,Idea 32,Sustainable Transport,112,Single Contributor,Pending,Not Started,No
25120b55,UK,Technology,08/04/2024,Idea 33,Sustainable Transport,353,Cross-Regional Team,Approved,Completed,No
67ed2b36,Germany,Research,22/03/2023,Idea 34,Smart Cities,308,Single Contributor,Pending,Not Started,No
b04c85a9,Germany,Urban Development,22/09/2023,Idea 35,Circular Economy,410,Cross-Regional Team,Rejected,Not Started,No
3e1ce042,China,Environmental Policy,13/08/2023,Idea 36,Circular Economy,299,Cross-Regional Team,Pending,Not Started,Yes
a76009fe,Germany,Infrastructure,08/05/2023,Idea 37,Circular Economy,29,Cross-Regional Team,Rejected,Not Started,No
e4d8de67,Canada,Environmental Policy,05/01/2025,Idea 38,Sustainable Transport,77,Cross-Regional Team,Rejected,Not Started,Yes
3d5402e7,Germany,Technology,29/10/2023,Idea 39,Water Management,433,Cross-Regional Team,Approved,Completed,No
1137658d,France,Urban Development,17/05/2023,Idea 40,Sustainable Transport,151,Cross-Regional Team,Rejected,Not Started,No
c217bb2d,USA,Infrastructure,29/04/2023,Idea 41,Renewable Energy,226,Cross-Regional Team,Approved,Not Started,No
5122184b,Germany,Renewable Energy,18/01/2025,Idea 42,Circular Economy,91,Cross-Regional Team,Rejected,Not Started,No
cd9ded61,China,Urban Development,15/12/2023,Idea 43,Smart Cities,70,Cross-Regional Team,Rejected,Not Started,No
e0123773,Japan,Technology,20/03/2023,Idea 44,Renewable Energy,395,Cross-Regional Team,Rejected,Not Started,No
f86873bc,Australia,Environmental Policy,21/10/2023,Idea 45,Water Management,322,Single Contributor,Rejected,Not Started,No
f0bf0312,UK,Environmental Policy,10/09/2023,Idea 46,Water Management,374,Cross-Regional Team,Approved,In Progress,No
4aa3ec97,Canada,Environmental Policy,17/11/2024,Idea 47,Carbon Capture,41,Cross-Regional Team,Approved,Completed,Yes
d731ea5e,China,Environmental Policy,11/08/2023,Idea 48,Water Management,280,Cross-Regional Team,Approved,In Progress,No
ba13ddfe,China,Environmental Policy,23/10/2024,Idea 49,Sustainable Transport,78,Cross-Regional Team,Rejected,Not Started,No
82c534d0,Canada,Urban Development,03/09/2024,Idea 50,Sustainable Transport,196,Cross-Regional Team,Rejected,Not Started,No
9b540a6a,France,Renewable Energy,28/08/2023,Idea 51,Smart Cities,148,Cross-Regional Team,Pending,Not Started,No
b86d3b55,China,Renewable Energy,10/11/2024,Idea 52,Carbon Capture,27,Cross-Regional Team,Approved,Completed,Yes
9f54ad58,UK,Infrastructure,05/03/2025,Idea 53,Renewable Energy,353,Single Contributor,Approved,Completed,No
a1fee389,Canada,Urban Development,25/04/2024,Idea 54,Sustainable Transport,17,Cross-Regional Team,Rejected,Not Started,No
dabc117b,France,Renewable Energy,12/12/2023,Idea 55,Renewable Energy,121,Single Contributor,Approved,In Progress,No
690f5c52,France,Renewable Energy,27/03/2023,Idea 56,Sustainable Transport,120,Cross-Regional Team,Rejected,Not Started,No
450dfb3c,Mexico,Urban Development,05/03/2025,Idea 57,Water Management,35,Cross-Regional Team,Approved,Not Started,Yes
06fb8eb7,Germany,Infrastructure,30/11/2024,Idea 58,Sustainable Transport,482,Cross-Regional Team,Rejected,Not Started,Yes
8b49b3c4,USA,Technology,29/04/2024,Idea 59,Smart Cities,290,Single Contributor,Rejected,Not Started,No
ce72ad34,Brazil,Renewable Energy,17/11/2024,Idea 60,Water Management,170,Cross-Regional Team,Rejected,Not Started,No
ac0b9dc4,India,Research,09/02/2024,Idea 61,Smart Cities,291,Single Contributor,Pending,Not Started,No
e3178eea,South Africa,Technology,17/03/2024,Idea 62,Circular Economy,39,Single Contributor,Rejected,Not Started,No
5ae34b22,South Africa,Technology,23/10/2023,Idea 63,Smart Cities,28,Single Contributor,Approved,Completed,No
d868dbaf,USA,Research,12/05/2024,Idea 64,Sustainable Transport,188,Cross-Regional Team,Rejected,Not Started,No
96e41d15,France,Infrastructure,24/02/2025,Idea 65,Water Management,295,Single Contributor,Rejected,Not Started,No
5bc62b5d,China,Environmental Policy,26/09/2024,Idea 66,Carbon Capture,118,Single Contributor,Approved,Not Started,No
24798d86,France,Research,24/08/2023,Idea 67,Renewable Energy,128,Single Contributor,Approved,In Progress,No
9852084c,France,Urban Development,24/09/2023,Idea 68,Smart Cities,111,Cross-Regional Team,Pending,Not Started,No
cfb1dd3b,France,Infrastructure,15/08/2024,Idea 69,Sustainable Transport,61,Single Contributor,Pending,Not Started,No
344be364,UK,Infrastructure,25/11/2023,Idea 70,Renewable Energy,62,Single Contributor,Rejected,Not Started,Yes
074b9d41,Germany,Urban Development,18/08/2024,Idea 71,Carbon Capture,439,Single Contributor,Pending,Not Started,Yes
8900c924,Germany,Urban Development,07/04/2024,Idea 72,Sustainable Transport,30,Single Contributor,Pending,Not Started,No
0a7efb59,Brazil,Technology,03/09/2023,Idea 73,Carbon Capture,393,Cross-Regional Team,Approved,Not Started,No
1c93ea72,Germany,Urban Development,15/09/2024,Idea 74,Water Management,422,Cross-Regional Team,Rejected,Not Started,No
96903915,Canada,Urban Development,01/11/2024,Idea 75,Sustainable Transport,117,Single Contributor,Rejected,Not Started,No
1dffa736,Canada,Renewable Energy,06/09/2023,Idea 76,Water Management,78,Single Contributor,Rejected,Not Started,No
02af5a81,Canada,Infrastructure,05/12/2024,Idea 77,Carbon Capture,449,Single Contributor,Pending,Not Started,No
68d751e9,USA,Research,30/10/2024,Idea 78,Water Management,495,Cross-Regional Team,Pending,Not Started,No
80111b7d,Japan,Urban Development,27/08/2024,Idea 79,Water Management,239,Single Contributor,Pending,Not Started,No
f220f919,Mexico,Infrastructure,20/09/2024,Idea 80,Sustainable Transport,428,Single Contributor,Approved,Not Started,No
f17101bb,India,Environmental Policy,22/12/2024,Idea 81,Water Management,395,Single Contributor,Pending,Not Started,No
f7452cc7,France,Research,24/10/2024,Idea 82,Water Management,226,Cross-Regional Team,Pending,Not Started,No
c9d70db8,Mexico,Research,29/05/2023,Idea 83,Circular Economy,150,Cross-Regional Team,Approved,In Progress,No
29f724b7,France,Infrastructure,27/10/2023,Idea 84,Smart Cities,259,Single Contributor,Rejected,Not Started,No
fe3be2d2,France,Renewable Energy,25/03/2024,Idea 85,Renewable Energy,46,Cross-Regional Team,Approved,Completed,No
5992cfb7,France,Infrastructure,08/06/2024,Idea 86,Water Management,471,Cross-Regional Team,Rejected,Not Started,No
f38b3b03,South Africa,Infrastructure,05/01/2024,Idea 87,Carbon Capture,188,Single Contributor,Rejected,Not Started,Yes
9df30ad4,Germany,Environmental Policy,11/05/2023,Idea 88,Smart Cities,83,Single Contributor,Pending,Not Started,No
16e329ac,Brazil,Research,12/12/2024,Idea 89,Circular Economy,279,Single Contributor,Pending,Not Started,No
d761c1ed,Australia,Research,15/11/2023,Idea 90,Carbon Capture,429,Single Contributor,Pending,Not Started,No
bd0d5a22,Japan,Renewable Energy,23/10/2023,Idea 91,Water Management,160,Single Contributor,Pending,Not Started,No
d2635fdc,USA,Urban Development,09/01/2024,Idea 92,Water Management,395,Cross-Regional Team,Approved,Not Started,No
5b7a128e,Japan,Research,10/12/2024,Idea 93,Renewable Energy,82,Cross-Regional Team,Approved,Completed,No
2.15E+12,Japan,Technology,11/04/2024,Idea 94,Carbon Capture,444,Cross-Regional Team,Pending,Not Started,Yes
7b40f4e2,France,Environmental Policy,12/03/2023,Idea 95,Renewable Energy,440,Single Contributor,Rejected,Not Started,No
db014b2f,France,Renewable Energy,01/05/2024,Idea 96,Water Management,319,Cross-Regional Team,Rejected,Not Started,No
87519391,Japan,Research,08/06/2023,Idea 97,Renewable Energy,1,Cross-Regional Team,Rejected,Not Started,No
2d952a90,Japan,Technology,02/02/2024,Idea 98,Circular Economy,320,Cross-Regional Team,Rejected,Not Started,No
f0a822d2,China,Infrastructure,11/06/2024,Idea 99,Water Management,309,Single Contributor,Approved,Not Started,No
0a3be4e4,Mexico,Infrastructure,31/12/2024,Idea 100,Water Management,115,Single Contributor,Rejected,Not Started,No
2b4c7f9b,Germany,Urban Development,18/04/2023,Idea 101,Sustainable Transport,164,Cross-Regional Team,Approved,Not Started,No
8a22f85f,Brazil,Renewable Energy,10/02/2025,Idea 102,Sustainable Transport,277,Cross-Regional Team,Approved,In Progress,No
da0cf383,India,Environmental Policy,31/07/2024,Idea 103,Carbon Capture,199,Single Contributor,Approved,Completed,No
788fc175,USA,Urban Development,26/02/2024,Idea 104,Renewable Energy,130,Single Contributor,Rejected,Not Started,No
7e25c8f4,India,Research,21/10/2024,Idea 105,Water Management,422,Cross-Regional Team,Rejected,Not Started,No
56666a15,UK,Infrastructure,27/08/2023,Idea 106,Smart Cities,297,Cross-Regional Team,Rejected,Not Started,No
c5881e3a,France,Technology,24/01/2024,Idea 107,Renewable Energy,193,Single Contributor,Approved,Not Started,Yes
60d216d5,India,Renewable Energy,13/06/2023,Idea 108,Sustainable Transport,254,Single Contributor,Pending,Not Started,No
ae82b2cb,UK,Renewable Energy,06/08/2024,Idea 109,Water Management,12,Cross-Regional Team,Pending,Not Started,No
e6433624,Canada,Urban Development,13/07/2024,Idea 110,Carbon Capture,361,Cross-Regional Team,Rejected,Not Started,No
4082585c,South Africa,Environmental Policy,21/03/2024,Idea 111,Smart Cities,80,Cross-Regional Team,Pending,Not Started,No
aac5c4c2,India,Renewable Energy,26/08/2023,Idea 112,Circular Economy,126,Cross-Regional Team,Pending,Not Started,No
bcf1f1b6,Brazil,Environmental Policy,03/05/2023,Idea 113,Smart Cities,470,Single Contributor,Approved,In Progress,No
54d811cb,France,Environmental Policy,15/08/2023,Idea 114,Carbon Capture,340,Single Contributor,Pending,Not Started,No
6c66bc5b,UK,Technology,30/08/2023,Idea 115,Carbon Capture,371,Single Contributor,Pending,Not Started,No
e67fd18b,Australia,Urban Development,20/04/2024,Idea 116,Circular Economy,226,Cross-Regional Team,Approved,Not Started,No
8f4a94aa,USA,Environmental Policy,10/06/2024,Idea 117,Sustainable Transport,352,Single Contributor,Approved,In Progress,No
34fc299d,India,Renewable Energy,01/04/2023,Idea 118,Renewable Energy,203,Single Contributor,Pending,Not Started,Yes
2ec8e2dd,France,Technology,07/04/2023,Idea 119,Renewable Energy,270,Single Contributor,Pending,Not Started,No
68467c3d,Canada,Urban Development,17/10/2024,Idea 120,Sustainable Transport,4,Cross-Regional Team,Approved,Not Started,No
5d4ee452,France,Infrastructure,11/03/2023,Idea 121,Carbon Capture,277,Cross-Regional Team,Rejected,Not Started,No
21b7e139,UK,Environmental Policy,28/09/2024,Idea 122,Water Management,253,Single Contributor,Approved,Not Started,No
058b2065,UK,Research,25/07/2024,Idea 123,Smart Cities,388,Cross-Regional Team,Approved,Completed,No
61c63b61,USA,Environmental Policy,05/11/2023,Idea 124,Smart Cities,449,Single Contributor,Approved,Completed,No
1178f7da,USA,Environmental Policy,22/12/2024,Idea 125,Water Management,189,Single Contributor,Approved,Not Started,No
43ebb102,Japan,Technology,20/05/2024,Idea 126,Carbon Capture,422,Cross-Regional Team,Approved,In Progress,No
675ff7b6,China,Environmental Policy,25/03/2024,Idea 127,Sustainable Transport,199,Single Contributor,Rejected,Not Started,No
1d88c6f1,Japan,Environmental Policy,12/11/2023,Idea 128,Renewable Energy,441,Single Contributor,Pending,Not Started,No
3981cc38,South Africa,Renewable Energy,21/08/2023,Idea 129,Renewable Energy,6,Single Contributor,Approved,Not Started,No
f38ec18e,Germany,Environmental Policy,13/07/2023,Idea 130,Carbon Capture,274,Single Contributor,Pending,Not Started,No
a9121f13,Australia,Environmental Policy,15/10/2023,Idea 131,Circular Economy,499,Single Contributor,Rejected,Not Started,No
60cc16fe,Japan,Renewable Energy,22/06/2023,Idea 132,Smart Cities,465,Cross-Regional Team,Approved,Not Started,No
c93ff2bd,South Africa,Research,17/06/2024,Idea 133,Water Management,28,Cross-Regional Team,Approved,Not Started,No
02b743ea,Germany,Infrastructure,26/03/2024,Idea 134,Renewable Energy,170,Cross-Regional Team,Approved,In Progress,No
88b91f79,Japan,Renewable Energy,06/03/2025,Idea 135,Carbon Capture,105,Cross-Regional Team,Rejected,Not Started,No
c01b97fe,India,Environmental Policy,23/09/2023,Idea 136,Sustainable Transport,209,Single Contributor,Pending,Not Started,No
bae8fe0e,Mexico,Infrastructure,22/04/2024,Idea 137,Sustainable Transport,223,Single Contributor,Pending,Not Started,No
c734177b,Brazil,Environmental Policy,25/05/2023,Idea 138,Water Management,90,Single Contributor,Approved,Not Started,No
d0bdb4a8,Mexico,Technology,09/09/2024,Idea 139,Renewable Energy,442,Single Contributor,Pending,Not Started,No
fc51f6f2,Australia,Technology,20/08/2024,Idea 140,Circular Economy,468,Cross-Regional Team,Pending,Not Started,No
a6d7c880,South Africa,Research,18/04/2024,Idea 141,Renewable Energy,483,Single Contributor,Rejected,Not Started,No
e8865bd3,China,Renewable Energy,02/10/2024,Idea 142,Circular Economy,178,Single Contributor,Rejected,Not Started,No
224f90ed,Japan,Urban Development,03/10/2024,Idea 143,Sustainable Transport,54,Cross-Regional Team,Rejected,Not Started,Yes
859a66c0,Japan,Research,12/02/2024,Idea 144,Smart Cities,294,Single Contributor,Rejected,Not Started,No
3f409fe3,Brazil,Environmental Policy,21/11/2023,Idea 145,Sustainable Transport,427,Single Contributor,Rejected,Not Started,No
63d2a085,Canada,Environmental Policy,30/11/2023,Idea 146,Carbon Capture,257,Cross-Regional Team,Rejected,Not Started,No
1196afab,South Africa,Environmental Policy,25/02/2025,Idea 147,Water Management,88,Cross-Regional Team,Rejected,Not Started,No
ebe516f1,India,Renewable Energy,24/10/2024,Idea 148,Carbon Capture,467,Cross-Regional Team,Approved,Completed,No
7ef795f7,Canada,Research,04/02/2025,Idea 149,Renewable Energy,499,Cross-Regional Team,Pending,Not Started,No
d92d2c24,UK,Environmental Policy,18/02/2025,Idea 150,Sustainable Transport,126,Cross-Regional Team,Approved,Not Started,No
5ba06df3,Japan,Renewable Energy,18/07/2023,Idea 151,Smart Cities,91,Single Contributor,Pending,Not Started,No
a049d3ce,China,Research,20/11/2024,Idea 152,Circular Economy,49,Cross-Regional Team,Approved,Not Started,No
7b59e2c7,Canada,Environmental Policy,10/10/2023,Idea 153,Carbon Capture,3,Cross-Regional Team,Approved,In Progress,No
dc48e92b,Canada,Environmental Policy,03/02/2024,Idea 154,Carbon Capture,402,Cross-Regional Team,Approved,Completed,No
1c1f7c88,Australia,Urban Development,05/08/2024,Idea 155,Sustainable Transport,126,Cross-Regional Team,Pending,Not Started,No
2da40cae,Brazil,Environmental Policy,02/07/2023,Idea 156,Water Management,260,Cross-Regional Team,Approved,In Progress,No
0e7ae904,South Africa,Research,20/08/2024,Idea 157,Renewable Energy,43,Single Contributor,Rejected,Not Started,No
ce751f64,Japan,Urban Development,12/02/2025,Idea 158,Renewable Energy,398,Single Contributor,Approved,Not Started,No
8be8a390,France,Technology,01/02/2025,Idea 159,Circular Economy,267,Single Contributor,Approved,In Progress,No
c239eaab,Canada,Renewable Energy,12/06/2024,Idea 160,Sustainable Transport,103,Cross-Regional Team,Rejected,Not Started,No
ab19f71f,India,Technology,05/09/2023,Idea 161,Smart Cities,195,Cross-Regional Team,Pending,Not Started,No
93f5b116,Australia,Infrastructure,31/08/2024,Idea 162,Renewable Energy,229,Single Contributor,Pending,Not Started,No
e659dc58,Australia,Research,18/05/2024,Idea 163,Circular Economy,98,Cross-Regional Team,Approved,Not Started,No
72ca32fb,France,Environmental Policy,08/03/2024,Idea 164,Circular Economy,210,Cross-Regional Team,Rejected,Not Started,No
05317bbe,Mexico,Research,26/07/2024,Idea 165,Smart Cities,467,Single Contributor,Approved,In Progress,No
a35e7c09,Brazil,Research,01/04/2023,Idea 166,Circular Economy,202,Cross-Regional Team,Pending,Not Started,No
a885bdb5,UK,Technology,08/02/2024,Idea 167,Renewable Energy,12,Single Contributor,Pending,Not Started,No
e7c21c1f,Australia,Environmental Policy,05/09/2023,Idea 168,Smart Cities,165,Single Contributor,Pending,Not Started,No
ca7724a9,UK,Infrastructure,31/10/2024,Idea 169,Water Management,90,Cross-Regional Team,Pending,Not Started,No
0dcbae9f,France,Research,09/08/2024,Idea 170,Water Management,403,Single Contributor,Pending,Not Started,No
